trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
210,False,"{'a': 0.2899999999999998, 'e': 0.015298507566725518}",25,15,16.6318992249192,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.2889999999999998, 'e': 0.014995576820477703}",20,5,22.776720988261843,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.2879999999999998, 'e': 0.014698644504901784}",20,0,32.43743343089711,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
213,False,"{'a': 0.2869999999999998, 'e': 0.01440759184311235}",20,10,16.571568746929497,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.2859999999999998, 'e': 0.014122302410163962}",30,22,17.684080691390026,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.2849999999999998, 'e': 0.013842662086479501}",30,21,17.908704164440984,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.2839999999999998, 'e': 0.013568559012200934}",25,3,33.81506691987258,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.2829999999999998, 'e': 0.013299883542443767}",25,3,31.914851719768684,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.2819999999999998, 'e': 0.013036528203437736}",30,6,32.9074561729484,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.2809999999999998, 'e': 0.01277838764953576}",20,11,15.402710221530553,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.2799999999999998, 'e': 0.012525358621074385}",25,20,9.807769581616425,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.2789999999999998, 'e': 0.012277339903068436}",20,10,19.26275104332828,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.2779999999999998, 'e': 0.012034232284723775}",25,20,10.537225056785974,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.2769999999999998, 'e': 0.011795938519751562}",20,12,15.568538088434916,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.2759999999999998, 'e': 0.011562363287468536}",20,10,20.143821966680473,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.2749999999999998, 'e': 0.011333413154667387}",20,10,20.88298162921485,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.2739999999999998, 'e': 0.011108996538242306}",25,14,17.90784668011274,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.2729999999999998, 'e': 0.01088902366855444}",30,17,27.99808405461683,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.2719999999999998, 'e': 0.010673406553522925}",25,19,12.757090353493574,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.2709999999999998, 'e': 0.010462058943426795}",20,13,11.622549294342456,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.2699999999999998, 'e': 0.010254896296404022}",30,19,22.397262330963823,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
